"","Year","Entity","new_cases_5_years_later","population_size_5_years_later","hdi","haq","gdp_per_capita","female_emply_rate","urb_rate","drug_alcohol_disorder_share","new_cases_share_5_years_later","hdi_avg","haq_avg","gdp_per_capita_avg","female_emply_rate_avg","urb_rate_avg","drug_alcohol_disorder_share_avg","hdi_over_avg","haq_over_avg","gdp_per_capita_over_avg","female_emply_rate_over_avg","urb_rate_over_avg","drug_alcohol_disorder_share_over_avg"
"381",2000,"Niger",3812.07532219,13624000,0.252,34.6,669,67.7699966430664,16.186,1.499343888,0.000279805880959336,0.634350344827586,57.5704827586207,13000.9296551724,50.1657158424114,55.6031131034483,2.31218164436414,0,0,0,1,0,0
"382",2005,"Niger",1670.51243721,16464000,0.283,37.7,704,67.7699966430664,16.242,1.503086197,0.000101464555224125,0.634350344827586,57.5704827586207,13000.9296551724,50.1657158424114,55.6031131034483,2.31218164436414,0,0,0,1,0,0
"383",2005,"Nigeria",289543.204707,158503008,0.465,43.1,3173,47.7529983520508,39.074,1.510390793,0.00182673633996271,0.634350344827586,57.5704827586207,13000.9296551724,50.1657158424114,55.6031131034483,2.31218164436414,0,0,0,0,0,0
"384",1990,"Norway",268.73299782,4367000,0.85,77.5,30319,55.2130012512207,71.956,3.179347389,6.15372104007328e-05,0.634350344827586,57.5704827586207,13000.9296551724,50.1657158424114,55.6031131034483,2.31218164436414,1,1,1,1,1,1
"385",1995,"Norway",255.325462529,4499000,0.883,81,34041,57.242000579834,73.787,3.127974605,5.67516031404757e-05,0.634350344827586,57.5704827586207,13000.9296551724,50.1657158424114,55.6031131034483,2.31218164436414,1,1,1,1,1,1
"386",2000,"Norway",258,4632000,0.917,82.8,54594,61.2639999389648,76.02,3.14697153,5.5699481865285e-05,0.634350344827586,57.5704827586207,13000.9296551724,50.1657158424114,55.6031131034483,2.31218164436414,1,1,1,1,1,1
"387",2005,"Norway",226.953106014,4886000,0.932,85.9,70877,60.7140007019043,77.675,2.9165129,4.64496737646337e-05,0.634350344827586,57.5704827586207,13000.9296551724,50.1657158424114,55.6031131034483,2.31218164436414,1,1,1,1,1,1
"388",2000,"Oman",134.448228283,2511000,0.704,74.4,18742,23.5319995880127,71.569,1.405157084,5.35436990374353e-05,0.634350344827586,57.5704827586207,13000.9296551724,50.1657158424114,55.6031131034483,2.31218164436414,1,1,1,0,1,0
"389",2005,"Oman",174.87258597,3041000,0.748,76.2,29806,25.2250003814697,72.4,1.40499329,5.75049608582703e-05,0.634350344827586,57.5704827586207,13000.9296551724,50.1657158424114,55.6031131034483,2.31218164436414,1,1,1,0,1,0
"390",1990,"Pakistan",570.491631275,123777000,0.404,36.5,2472,14.0139999389648,30.576,2.013924144,4.60902777797975e-06,0.634350344827586,57.5704827586207,13000.9296551724,50.1657158424114,55.6031131034483,2.31218164436414,0,0,0,0,0,0
"391",1995,"Pakistan",1118.38446347,142344000,0.428,35.6,2584,12.5050001144409,31.836,2.04846157,7.85691327678019e-06,0.634350344827586,57.5704827586207,13000.9296551724,50.1657158424114,55.6031131034483,2.31218164436414,0,0,0,0,0,0
"392",2000,"Pakistan",3052.38075121,160304000,0.45,36.3,2608,16.056999206543,32.982,2.082596261,1.9041201412379e-05,0.634350344827586,57.5704827586207,13000.9296551724,50.1657158424114,55.6031131034483,2.31218164436414,0,0,0,0,0,0
"393",2005,"Pakistan",8379.76323495,179424992,0.5,38.1,3162,19.3439998626709,33.982,2.124300846,4.67034337944961e-05,0.634350344827586,57.5704827586207,13000.9296551724,50.1657158424114,55.6031131034483,2.31218164436414,0,0,0,0,0,0
"394",2005,"Palestine",14.028780961,4056000,0.657,68.7,3787,14.1400003433228,73.061,1.658176275,3.45877242628205e-06,0.634350344827586,57.5704827586207,13000.9296551724,50.1657158424114,55.6031131034483,2.31218164436414,1,1,0,0,1,0
"395",1990,"Panama",770.770266678,2740000,0.66,52.9,6274,38.2470016479492,53.903,1.774837397,0.000281303017035766,0.634350344827586,57.5704827586207,13000.9296551724,50.1657158424114,55.6031131034483,2.31218164436414,1,0,0,0,0,0
"396",1995,"Panama",833.673442854,3030000,0.688,56.7,7243,42.7939987182617,58.141,1.785731363,0.000275139750116832,0.634350344827586,57.5704827586207,13000.9296551724,50.1657158424114,55.6031131034483,2.31218164436414,1,0,0,0,1,0
"397",2000,"Panama",923.273574423,3330000,0.719,59.8,9160,44.8629989624023,62.198,1.826719183,0.000277259331658559,0.634350344827586,57.5704827586207,13000.9296551724,50.1657158424114,55.6031131034483,2.31218164436414,1,1,0,0,1,0
"398",2005,"Panama",1158.15022001,3643000,0.739,61.3,12800,47.951000213623,63.682,1.843742486,0.000317911122703816,0.634350344827586,57.5704827586207,13000.9296551724,50.1657158424114,55.6031131034483,2.31218164436414,1,1,0,0,1,0
"399",1990,"Paraguay",274.989633459,4777000,0.58,53,3963,51.8009986877441,48.694,2.710837663,5.75653408957505e-05,0.634350344827586,57.5704827586207,13000.9296551724,50.1657158424114,55.6031131034483,2.31218164436414,0,0,0,1,0,1
"400",1995,"Paraguay",662.844837813,5323000,0.606,55.1,4281,53.2519989013672,52.131,2.710964102,0.000124524673645125,0.634350344827586,57.5704827586207,13000.9296551724,50.1657158424114,55.6031131034483,2.31218164436414,0,0,0,1,0,1
